"Layer","Component","Matrix","Mitigation","Coverage","Efficiency (%)","Comment"
"Layer 2","Human Override Control Interface","EMB3D","Authentication Attempts Timeouts and Lockouts","Yes","50","Repeated failed authentication attempts trigger controlled delays and temporary lockouts while preserving defined emergency-access procedures."
"Layer 2","Human Override Control Interface","ICS","Network Segmentation","Yes","50","The human-override interface is isolated from general-purpose networks and accepts only required communication flows from authorized supervisory systems."
"Layer 2","Human Override Control Interface","EMB3D","Security-relevant Auditing and Logging","Yes","25","Successful and failed access attempts, override requests, approvals, configuration changes, and command-execution outcomes are recorded."
"Layer 2","Internal Data Pipeline / Integration Module","EMB3D","Authenticate Network Messages","Yes","75","Inter-layer messages are accepted only when their source authenticity and message integrity are successfully verified before processing."
"Layer 2","Internal Data Pipeline / Integration Module","ICS","Validate Program Inputs","Yes","50","Data exchanged between layers is checked for structure, type, operational range, freshness, sequence, and consistency before being forwarded."
"Layer 2","Internal Data Pipeline / Integration Module","EMB3D","Network Timestamps","Yes","50","Inter-layer messages include synchronized timestamps so stale, delayed, duplicated, or replayed data can be rejected."
"Layer 2","Internal Data Pipeline / Integration Module","ICS","Network Segmentation","Yes","50","The internal integration pathway is isolated from external and non-essential networks, and only required component-to-component data flows are permitted."
"Layer 2","Internal Data Pipeline / Integration Module","EMB3D","Runtime System Integrity Checking","Yes","50","Pipeline executables, parsers, routing rules, data schemas, and configuration files are checked for unauthorized modification during startup and operation."
"Layer 2","Internal Data Pipeline / Integration Module","EMB3D","Security-relevant Auditing and Logging","Yes","25","Rejected messages, authentication failures, integrity violations, routing changes, abnormal data flows, and service interruptions are recorded."
"Layer 2","Target Model","ATLAS","Control Access to ML Models and Data in Production","Yes","75","Access to the deployed model, model files, inference services, configuration parameters, and associated production data is restricted to authorized services and administrative roles."
"Layer 2","Target Model","ATLAS","Limit Model Artifact Release","Yes","50","Model weights, architecture details, intermediate representations, configuration files, and other sensitive artifacts are not released beyond approved operational and maintenance requirements."
"Layer 2","Target Model","ATLAS","Restrict Number of ML Model Queries","Yes","50","Inference requests are subject to per-client rate limits, query quotas, and abnormal-query controls to reduce large-scale model extraction and inference attacks."
"Layer 2","Target Model","ATLAS","Passive ML Output Obfuscation","Yes","50","Inference responses expose only the output detail required for vessel operation and avoid unnecessary confidence scores, logits, or internal model information."
"Layer 2","Target Model","ATLAS","Verify ML Artifacts","Yes","75","The model artifact is verified for approved origin, integrity, expected version, and authorized release status before deployment and loading."
"Layer 2","Target Model","ATLAS","Validate ML Model","Yes","50","The deployed model is evaluated for functional correctness, robustness, backdoor indicators, adversarial sensitivity, and safety-relevant failure behavior before release and after updates."
"Layer 2","Target Model","EMB3D","Runtime System Integrity Checking","Yes","50","Loaded model files, inference configurations, model-serving components, and safety-related parameters are monitored for unauthorized modification during operation."
"Layer 2","Target Model","ATLAS","AI Telemetry Logging","Yes","25","Model access, query volumes, model versions, deployment changes, abnormal outputs, validation failures, and integrity events are recorded."
"Layer 2","Training Data Asset","ATLAS","Maintain AI Dataset Provenance","Yes","75","Each dataset version records its source, collection method, labeling process, transformation history, approval status, and use in training or retraining."
"Layer 2","Training Data Asset","ATLAS","Sanitize Training Data","Yes","50","Training data is screened for poisoned, malformed, duplicated, mislabeled, out-of-policy, and statistically anomalous samples before ingestion."
"Layer 2","Training Data Asset","ATLAS","Control Access to ML Models and Data at Rest","Yes","75","Training datasets, validation datasets, labels, and dataset repositories are restricted to authorized roles and services using least-privilege access controls."
"Layer 2","Training Data Asset","ATLAS","Verify ML Artifacts","Yes","50","Dataset packages, manifests, checksums, labels, and approved dataset versions are verified before training, retraining, or adaptation."
"Layer 2","Training Data Asset","EMB3D","Require Authentication for Privileged Functions","Yes","50","Dataset import, replacement, deletion, relabeling, approval, and release operations require authenticated privileged access."
"Layer 2","Training Data Asset","ATLAS","AI Bill of Materials","Yes","25","Datasets, labeling sources, preprocessing tools, libraries, and external dependencies used in the training workflow are inventoried with their versions and origins."
"Layer 2","Training Data Asset","ATLAS","AI Telemetry Logging","Yes","25","Dataset ingestion, version changes, provenance updates, sanitation results, privileged operations, and associated training runs are recorded."
"Layer 3","Data Integration and Analysis Module","ATLAS","Adversarial Input Detection","Yes","75","Incoming sensor, navigation, communication, and autonomy-related data is screened for anomalous patterns, inconsistent confidence values, out-of-distribution observations, and cross-source conflicts before fusion."
"Layer 3","Data Integration and Analysis Module","ATLAS","Use Multi-Modal Sensors","Yes","75","The operational picture is generated by corroborating GNSS, AIS, RADAR/ARPA, LiDAR, sonar, heading, speed, and environmental inputs rather than relying on a single source."
"Layer 3","Data Integration and Analysis Module","ATLAS","Input Restoration","Yes","50","Inputs affected by noise, perturbation, missing values, or recoverable corruption are filtered or reconstructed before fusion, while unreliable inputs are rejected."
"Layer 3","Data Integration and Analysis Module","EMB3D","Authenticate Network Messages","Yes","75","Data received from connected components is accepted only when message origin and integrity are successfully authenticated."
"Layer 3","Data Integration and Analysis Module","EMB3D","Network Timestamps","Yes","50","Incoming observations include synchronized timestamps so stale, delayed, duplicated, or replayed data can be rejected before fusion."
"Layer 3","Data Integration and Analysis Module","EMB3D","Network Request Processing Limits","Yes","50","Connection, message-rate, queue, and processing limits prevent abnormal input volumes from exhausting fusion and analysis resources."
"Layer 3","Data Integration and Analysis Module","EMB3D","Security-relevant Auditing and Logging","Yes","25","Rejected inputs, authentication failures, cross-source inconsistencies, abnormal message volumes, fusion conflicts, and service interruptions are recorded."
"Layer 3","Autonomous Navigation Decision Module","ATLAS","Adversarial Input Detection","Yes","75","Navigation inputs and upstream reasoning outputs are screened for abnormal values, inconsistent trajectories, unexpected confidence changes, and conflicts with the current operational state before route decisions are generated."
"Layer 3","Autonomous Navigation Decision Module","EMB3D","Network Timestamps","Yes","50","Navigation and motion-state inputs include synchronized timestamps so stale, delayed, duplicated, or replayed information can be rejected before decision processing."
"Layer 3","Autonomous Navigation Decision Module","EMB3D","Formal Methods Verification of Critical Functionality Implementation","Yes","75","Route-planning logic, maneuver constraints, prohibited-state transitions, and safety policies are verified against defined navigation and operational safety properties."
"Layer 3","Autonomous Navigation Decision Module","EMB3D","Runtime System Integrity Checking","Yes","50","Navigation-decision executables, path-planning rules, configuration parameters, safety constraints, and supporting artifacts are checked for unauthorized modification during operation."
"Layer 3","Autonomous Navigation Decision Module","EMB3D","Require Authentication for Privileged Functions","Yes","50","Changes to route-planning parameters, navigation policies, operational boundaries, and safety constraints require authenticated privileged access."
"Layer 3","Autonomous Navigation Decision Module","ATLAS","AI Telemetry Logging","Yes","25","Navigation inputs, selected routes, rejected alternatives, constraint activations, decision outputs, model or logic versions, and abnormal decision events are recorded."
"Layer 3","Collision Avoidance System","ICS","Validate Program Inputs","Yes","50","Collision-risk inputs are checked for valid range, freshness, confidence, relative position and speed consistency, encounter classification, and maneuver feasibility before avoidance actions are generated."
"Layer 3","Collision Avoidance System","ICS","Safety Instrumented Systems","Yes","75","Independent safety supervision blocks avoidance actions that violate predefined collision-risk, maneuvering, or operational safety limits and initiates a fail-safe response when necessary."
"Layer 3","Collision Avoidance System","EMB3D","Network Request Processing Limits","Yes","50","Alert, hazard-event, message-rate, queue, and processing limits prevent excessive or coordinated inputs from exhausting collision-avoidance resources."
"Layer 3","Collision Avoidance System","ICS","Watchdog Timers","Yes","25","Collision-evaluation and maneuver-generation cycles are monitored so missed deadlines, stalled processing, or unresponsive behavior triggers degraded or fail-safe operation."
"Layer 3","Collision Avoidance System","EMB3D","Runtime System Integrity Checking","Yes","50","Collision-avoidance executables, hazard thresholds, maneuvering rules, safety parameters, and configuration files are checked for unauthorized modification during operation."
"Layer 3","Collision Avoidance System","EMB3D","Require Authentication for Privileged Functions","Yes","50","Changes to hazard thresholds, avoidance rules, operational boundaries, override settings, and fail-safe parameters require authenticated privileged access."
"Layer 3","Collision Avoidance System","EMB3D","Security-relevant Auditing and Logging","Yes","25","Rejected hazard inputs, threshold changes, safety overrides, abnormal alert volumes, watchdog events, selected maneuvers, and fail-safe activations are recorded."
"Layer 3","Navigation Support and Situational Awareness Module","ICS","Validate Program Inputs","Yes","50","Navigation inputs are checked for valid structure, range, freshness, continuity, confidence, and consistency with other situational-awareness sources before interpretation."
"Layer 3","Navigation Support and Situational Awareness Module","ICS","Redundancy of Service","Yes","50","AIS, RADAR/ARPA, echo-sounder, and other navigation sources provide corroborating and fallback information when one source is unavailable or rejected."
"Layer 3","Navigation Support and Situational Awareness Module","EMB3D","Authenticate Network Messages","Yes","75","Navigation messages are accepted only when their source authenticity and message integrity are successfully verified."
"Layer 3","Navigation Support and Situational Awareness Module","EMB3D","Network Timestamps","Yes","50","Navigation observations include synchronized timestamps so stale, delayed, duplicated, or replayed information can be rejected."
"Layer 3","Navigation Support and Situational Awareness Module","EMB3D","Network Request Processing Limits","Yes","50","Message-rate, alert, queue, and processing limits prevent excessive or coordinated inputs from overwhelming situational-awareness processing."
"Layer 3","Navigation Support and Situational Awareness Module","EMB3D","Security-relevant Auditing and Logging","Yes","25","Rejected inputs, authentication failures, cross-source conflicts, stale observations, abnormal alert volumes, and service interruptions are recorded."
